,amenity,building,shop,office,way
0,place_of_worship,,,,POINT (121.0650407 14.5397932)
1,,,,,POINT (121.0656832 14.5397264)
2,nightclub,,,,POINT (121.0673295 14.5396869)
3,,,car_parts,,POINT (121.067403 14.5400665)
4,,,,,POINT (121.067423 14.5401178)
5,school,,,,POINT (121.068611 14.53961)
6,,,,,POINT (121.0623428 14.541745)
7,place_of_worship,,,,POINT (121.0622804 14.5440335)
8,school,,,,POINT (121.0637386 14.5454755)
9,,,,,POINT (121.0653842 14.5412102)
10,,,,,POINT (121.0639555 14.5418678)
11,,,,,POINT (121.0643834 14.5423868)
12,,,,,POINT (121.0646775 14.542414)
13,,,car,,POINT (121.0671511 14.5404779)
14,bank,,,,POINT (121.0670865 14.5408017)
15,school,,,,POINT (121.0669185 14.541149)
16,bank,,,,POINT (121.0667998 14.5414696)
17,,,car_parts,,POINT (121.0668932 14.5416183)
18,bank,,,,POINT (121.0669853 14.5417349)
19,fuel,,,,POINT (121.0679667 14.5416784)
20,,,convenience,,POINT (121.0668691 14.5418131)
21,,,hardware,,POINT (121.0668169 14.5419485)
22,restaurant,,,,POINT (121.0671896 14.5428123)
23,bank,,,,POINT (121.0672262 14.5428694)
24,fast_food,,,,POINT (121.0671462 14.542969)
25,,,optician,,POINT (121.0673247 14.5429867)
26,clinic,,,,POINT (121.0648686 14.5441534)
27,hospital,,,,POINT (121.0652174 14.5440845)
28,,,,,POINT (121.0661857 14.5444911)
29,fast_food,,,,POINT (121.0661041 14.5450575)
30,fast_food,,,,POINT (121.0663345 14.5450223)
31,,,variety_store,,POINT (121.0664934 14.5449933)
32,fast_food,,,,POINT (121.0665467 14.5449738)
33,,,supermarket,,POINT (121.0654872 14.5453482)
34,,,convenience,,POINT (121.0658056 14.5452437)
35,fast_food,,,,POINT (121.0658539 14.5452781)
36,restaurant,,,,POINT (121.0661687 14.5453128)
37,bank,,,,POINT (121.0659618 14.5454713)
38,bank,,,,POINT (121.0671586 14.543303)
39,school,,,,POINT (121.0670897 14.5433454)
40,bank,,,,POINT (121.0674449 14.5432217)
41,,,bicycle,,POINT (121.0674007 14.5434356)
42,,,car,,POINT (121.0676093 14.5434691)
43,place_of_worship,,,,POINT (121.067305 14.543531)
44,,,electronics,,POINT (121.0677206 14.543736)
45,,,books,,POINT (121.0675606 14.5438592)
46,,,books,,POINT (121.0676128 14.5438933)
47,,,supermarket,,POINT (121.0675534 14.5440496)
48,bank,,,,POINT (121.0675614 14.5441457)
49,,,car,,POINT (121.0678054 14.5438862)
50,,,laundry,,POINT (121.0678496 14.5439869)
51,,,clothes,,POINT (121.0677134 14.5445019)
52,,,bakery,,POINT (121.0680414 14.5443941)
53,,,pawnbroker,,POINT (121.0681129 14.5444376)
54,,,hairdresser,,POINT (121.0683143 14.544298)
55,,,supermarket,,POINT (121.0687344 14.5444006)
56,,,,,POINT (121.0667489 14.5446274)
57,,,convenience,,POINT (121.0668526 14.5447664)
58,restaurant,,,,POINT (121.0669729 14.5447798)
59,,,bakery,,POINT (121.0667379 14.5449519)
60,fast_food,,,,POINT (121.0668305 14.5449037)
61,school,,,,POINT (121.0672563 14.545007)
62,,,convenience,,POINT (121.0676168 14.5447459)
63,,,,,POINT (121.0667343 14.5453908)
64,place_of_worship,,,,POINT (121.0671288 14.5453776)
65,place_of_worship,,,,POINT (121.0672234 14.545486)
66,pharmacy,,,,POINT (121.0679731 14.5445792)
67,bank,,,,POINT (121.0681908 14.5451206)
68,restaurant,,,,POINT (121.0681134 14.5456317)
69,restaurant,,,,POINT (121.0681875 14.5456067)
70,,,,,POINT (121.0695124 14.5423841)
71,,,,,POINT (121.0700304 14.5430016)
72,,,,,POINT (121.0708664 14.5420105)
73,,,,,POINT (121.0703758 14.5436876)
74,,,,,POINT (121.0709374 14.5442059)
75,,,,,POINT (121.0713158 14.5444101)
76,,,,,POINT (121.073625 14.5450315)
77,,,,,POINT (121.0744803 14.5448136)
78,,,,,POINT (121.0743944 14.5450224)
79,,,,,POINT (121.0736894 14.5457533)
80,,,convenience,,POINT (121.0614701 14.5461293)
81,tricycle_station,,,,POINT (121.0644477 14.546282)
82,fast_food,,,,POINT (121.0661995 14.546409)
83,clinic,,,,POINT (121.0668653 14.546127)
84,bank,,,,POINT (121.0687558 14.5459256)
85,,,convenience,,POINT (121.0666161 14.5475802)
86,,,,,POINT (121.068338 14.5476547)
87,fire_station,,,,POINT (121.0652545 14.5490415)
88,police,,,,POINT (121.0654601 14.5490782)
89,,,,,POINT (121.0683804 14.5487405)
90,place_of_worship,,,,POINT (121.0683316 14.549512)
91,,,,,POINT (121.0687136 14.5508113)
92,,,hairdresser,,POINT (121.0635233 14.5529171)
93,,,convenience,,POINT (121.0635548 14.5530411)
94,school,,,,POINT (121.063703 14.5533232)
95,school,,,,POINT (121.0638287 14.5540724)
96,,,,,POINT (121.0655887 14.5522633)
97,,,,,POINT (121.066261 14.553331)
98,,,,,POINT (121.0654632 14.5536933)
99,,,,,POINT (121.0672364 14.551899)
100,school,,,,POINT (121.0684785 14.552085)
101,fuel,,,,POINT (121.0680681 14.5539257)
102,,,,,POINT (121.0692962 14.5537658)
103,,,bakery,,POINT (121.0688666 14.5541035)
104,,,car_repair,,POINT (121.0690356 14.5540049)
105,school,,,,POINT (121.0718454 14.5466082)
106,,,,government,POINT (121.0718393 14.5468059)
107,fuel,,,,POINT (121.0711813 14.5476132)
108,,,,,POINT (121.0707901 14.5480864)
109,,,hairdresser,,POINT (121.0735982 14.5478262)
110,,,,,POINT (121.071839 14.5503828)
111,,,,,POINT (121.0724294 14.5488785)
112,,,beauty,,POINT (121.0731042 14.5497447)
113,,,,,POINT (121.0725483 14.5500289)
114,,,,,POINT (121.0731026 14.5500755)
115,bank,,,,POINT (121.0734191 14.5506285)
116,,,,,POINT (121.0722435 14.5507364)
117,,yes,,,POINT (121.0745892 14.5501024)
118,,,,,POINT (121.0741889 14.5512724)
119,fast_food,,,,POINT (121.0744178 14.5513095)
120,police,,,,POINT (121.0761517 14.5469852)
121,place_of_worship,,,,POINT (121.0769212 14.5463827)
122,place_of_worship,,,,POINT (121.0762456 14.5467385)
123,,,,,POINT (121.0760835 14.5480286)
124,,,,,POINT (121.0762195 14.548895)
125,,,,,POINT (121.0771568 14.5491158)
126,,,,,POINT (121.0771387 14.5497774)
127,,,,,POINT (121.0755109 14.5503861)
128,bank,,,,POINT (121.0753253 14.5509909)
129,,,supermarket,,POINT (121.0751351 14.5511703)
130,bank,,,,POINT (121.0757893 14.5509287)
131,police,,,,POINT (121.0762318 14.5510157)
132,,,,,POINT (121.0769435 14.5513175)
133,public_building,,,,POINT (121.0696805 14.5528456)
134,bank,,,,POINT (121.0694511 14.5536285)
135,bank,,,,POINT (121.0698427 14.5535557)
136,,,convenience,,POINT (121.070635 14.553718)
137,,,car_repair,,POINT (121.0706565 14.5538608)
138,,,car,,POINT (121.0706647 14.5539023)
139,,,appliance,,POINT (121.0719567 14.55353)
140,place_of_worship,,,,POINT (121.0721142 14.5519232)
141,fire_station,,,,POINT (121.0735289 14.5516358)
142,bank,,,,POINT (121.0739467 14.5519041)
143,fast_food,,,,POINT (121.0740513 14.5518632)
144,,,convenience,,POINT (121.0742903 14.5516189)
145,post_office,,,,POINT (121.0742653 14.5516915)
146,,,,,POINT (121.0745208 14.5516053)
147,bank,,,,POINT (121.0747465 14.5515811)
148,fast_food,,,,POINT (121.0741887 14.5517445)
149,fast_food,,,,POINT (121.0743147 14.5520043)
150,pharmacy,,,,POINT (121.0745401 14.5519108)
151,fast_food,,,,POINT (121.0746671 14.5520478)
152,bank,,,,POINT (121.0737058 14.5521782)
153,restaurant,,,,POINT (121.0738191 14.5521183)
154,,yes,,,POINT (121.073837 14.552761)
155,restaurant,,,,POINT (121.0723509 14.5529642)
156,,,,,POINT (121.0722891 14.5533171)
157,,,,,POINT (121.0729959 14.5527861)
158,,,travel_agency,,POINT (121.0730152 14.5527751)
159,jeepney_station,,,,POINT (121.0727802 14.5531458)
160,,,car_repair,,POINT (121.0732311 14.5531438)
161,restaurant,,,,POINT (121.0749045 14.5515024)
162,pharmacy,,,,POINT (121.0749474 14.5514818)
163,,,tyres,,POINT (121.0061028 14.6117938)
164,police,,,,POINT (121.0084268 14.6096268)
165,clinic,,,,POINT (121.0070858 14.6106645)
166,,,bakery,,POINT (121.0070234 14.6107291)
167,,,car_parts,,POINT (121.0069965 14.6116717)
168,place_of_worship,,,,POINT (121.0080322 14.6118077)
169,,,,,POINT (121.0126072 14.6075699)
170,,,,,POINT (121.0095975 14.6109887)
171,,,bakery,,POINT (121.0113273 14.6107735)
172,,,,,POINT (121.0116763 14.6106357)
173,,,,,POINT (121.0131199 14.6106446)
174,doctors,,,,POINT (121.0153524 14.6076575)
175,,,,,POINT (121.0169781 14.6079656)
176,,,car,,POINT (121.016893 14.6081698)
177,,,,,POINT (121.0169843 14.6081111)
178,,,car_repair,,POINT (121.016877 14.6083341)
179,,,car_parts,,POINT (121.0168309 14.6089769)
180,,,,,POINT (121.017184 14.6082254)
181,,,,,POINT (121.0175629 14.6083263)
182,bank,,,,POINT (121.0173252 14.6084809)
183,restaurant,,,,POINT (121.0172933 14.6086361)
184,fast_food,,,,POINT (121.0172824 14.6087067)
185,,,,,POINT (121.0171953 14.6089422)
186,,,,,POINT (121.0180759 14.6085251)
187,,,,,POINT (121.0152555 14.6096526)
188,,,,,POINT (121.0166391 14.6095469)
189,,,car_repair,,POINT (121.0167486 14.609706)
190,bank,,,,POINT (121.0166784 14.6113051)
191,,,,,POINT (121.0170921 14.6112398)
192,bank,,,,POINT (121.0173657 14.6091141)
193,bank,,,,POINT (121.0174223 14.6095054)
194,,,,,POINT (121.0171511 14.6100764)
195,bank,,,,POINT (121.0172231 14.6106182)
196,fuel,,,,POINT (121.0172582 14.6112113)
197,,,,,POINT (120.9920966 14.6219448)
198,internet_cafe,,,,POINT (121.0024925 14.6133512)
199,,,,government,POINT (121.0003913 14.6161617)
200,,,,government,POINT (121.0000005 14.6165896)
201,atm,,,,POINT (121.0030722 14.6154327)
202,,,travel_agency,,POINT (121.001135 14.616996)
203,college,,,,POINT (121.0015001 14.6173071)
204,hospital,,,,POINT (121.0018877 14.6171848)
205,,,,,POINT (121.0025029 14.6167438)
206,,,,,POINT (121.0026317 14.6167853)
207,,,,,POINT (121.0027926 14.6168061)
208,,,,,POINT (121.0029214 14.6168269)
209,,,,,POINT (121.0030716 14.6168476)
210,,,,,POINT (121.0032325 14.6168372)
211,,,,,POINT (121.0033827 14.6168372)
212,shelter,,,,POINT (120.9930957 14.6215507)
213,courthouse,,,,POINT (120.9929738 14.6223207)
214,school,,,,POINT (120.994288 14.6219137)
215,fast_food,,,,POINT (120.9957498 14.6205333)
216,,,supermarket,,POINT (120.9959105 14.6212652)
217,,,,,POINT (120.996128 14.6227348)
218,,,computer,,POINT (120.9972489 14.6217392)
219,,,bakery,,POINT (120.9978389 14.6224703)
220,,,,,POINT (120.9998077 14.6179127)
221,,,weapons,,POINT (120.9990484 14.6194895)
222,,,supermarket,,POINT (121.0012419 14.6178091)
223,police,,,,POINT (121.0018995 14.6174011)
224,police,,,,POINT (121.0017881 14.6175188)
225,,,,,POINT (121.0017066 14.617805)
226,,,,,POINT (121.0009901 14.6181288)
227,fast_food,,,,POINT (121.0013923 14.6180651)
228,,,supermarket,,POINT (121.0021554 14.6174184)
229,fast_food,,,,POINT (121.0021809 14.6176466)
230,fast_food,,,,POINT (121.0023128 14.6176696)
231,,,supermarket,,POINT (121.0029753 14.6187009)
232,,,computer,,POINT (121.0027102 14.6195248)
233,,,computer,,POINT (121.0026612 14.6196931)
234,,,computer,,POINT (121.0022384 14.6198705)
235,,,,,POINT (120.9980199 14.6204043)
236,,,doityourself,,POINT (121.0004867 14.6206146)
237,,,bicycle,,POINT (120.99887 14.621544)
238,,,,logistics,POINT (120.9979441 14.6226526)
239,bank,,,,POINT (120.9992701 14.6226102)
240,fast_food,,,,POINT (120.9996257 14.6218782)
241,bank,,,,POINT (120.9995352 14.6221156)
242,,,,,POINT (120.9996909 14.6220248)
243,bank,,,,POINT (120.9994102 14.6223488)
244,police,,,,POINT (121.0001486 14.6223684)
245,,,gift,,POINT (121.0005133 14.6226843)
246,,,,,POINT (121.0007012 14.6204734)
247,place_of_worship,,,,POINT (121.0013533 14.620476)
248,,,,,POINT (121.0019446 14.6216877)
249,,,computer,,POINT (121.0020987 14.6222636)
250,,,,,POINT (121.0032896 14.6222415)
251,,,,,POINT (120.9890965 14.6237334)
252,,,convenience,,POINT (120.9892285 14.6240512)
253,,,convenience,,POINT (120.987275 14.6249721)
254,pharmacy,,,,POINT (120.9870568 14.6254381)
255,,,convenience,,POINT (120.987579 14.625221)
256,college,,,,POINT (120.9882139 14.625325)
257,,,bicycle,,POINT (120.9906744 14.623693)
258,,,water,,POINT (120.9909068 14.6240233)
259,place_of_worship,,,,POINT (120.9909453 14.6240598)
260,fast_food,,,,POINT (120.9918231 14.6228895)
261,car_wash,,,,POINT (120.9918619 14.6229966)
262,,,seafood,,POINT (120.9907904 14.6247737)
263,restaurant,,,,POINT (120.990895 14.6250151)
264,fast_food,,,,POINT (120.987446 14.625819)
265,fast_food,,,,POINT (120.9874889 14.6257541)
266,,,,,POINT (120.9882508 14.6255607)
267,,,bakery,,POINT (120.9883553 14.6255828)
268,,,supermarket,,POINT (120.988441 14.6256217)
269,,,,,POINT (120.9896612 14.6260758)
270,,,,,POINT (120.9889224 14.6265435)
271,,,,,POINT (120.9891023 14.6266105)
272,restaurant,,,,POINT (120.9902757 14.6258336)
273,,,,,POINT (120.9897745 14.6259443)
274,restaurant,,,,POINT (120.9905064 14.6257812)
275,bank,,,,POINT (120.9902795 14.6264109)
276,pharmacy,,,,POINT (120.9912142 14.6257547)
277,restaurant,,,,POINT (120.9910903 14.6258482)
278,post_office,,,,POINT (120.9911074 14.6261406)
279,school,,,,POINT (120.9916024 14.6265158)
280,bank,,,,POINT (120.9922592 14.6271063)
281,,,,,POINT (120.9902616 14.6295658)
282,fuel,,,,POINT (120.9924218 14.6336099)
283,,,,,POINT (120.9965509 14.624099)
284,,,,,POINT (120.9938413 14.6262159)
285,restaurant,,,,POINT (120.9927279 14.6273623)
286,restaurant,,,,POINT (120.992964 14.6275503)
287,,,hairdresser,,POINT (120.9933362 14.6279917)
288,,,hairdresser,,POINT (120.993422 14.62822)
289,,,,,POINT (120.9936708 14.6280708)
290,,,confectionery,,POINT (120.9937228 14.6282921)
291,,,,,POINT (120.9944241 14.6271521)
292,,,,,POINT (120.9947019 14.6270084)
293,,,computer,,POINT (120.9941501 14.6282457)
294,school,,,,POINT (120.997161 14.628271)
295,,,beauty,,POINT (120.999099 14.6231141)
296,post_office,,,,POINT (120.9986346 14.6232557)
297,pharmacy,,,,POINT (120.9988642 14.6234201)
298,,,convenience,,POINT (120.998987 14.6232019)
299,pharmacy,,,,POINT (120.9992193 14.623307)
300,,,,,POINT (120.9990301 14.6234149)
301,,,butcher,,POINT (120.998844 14.6235306)
302,bank,,,,POINT (120.9988015 14.6236091)
303,,,coffee,,POINT (120.9995598 14.6234176)
304,fuel,,,,POINT (120.9982153 14.6248084)
305,,,car_repair,,POINT (120.998425 14.6249963)
306,,,bicycle,,POINT (121.0026353 14.6231655)
307,cafe,,,,POINT (121.00275 14.623262)
308,,,bakery,,POINT (121.0019586 14.6252291)
309,,,computer,,POINT (121.0025374 14.6241801)
310,,,,,POINT (121.0020659 14.6248167)
311,,,bakery,,POINT (121.0021304 14.6249776)
312,,,,,POINT (121.0014054 14.6261718)
313,,,,,POINT (121.0020738 14.6258235)
314,atm,,,,POINT (121.0033746 14.6278361)
315,,,clothes,,POINT (120.9944135 14.6285708)
316,,,tyres,,POINT (120.9943892 14.6287792)
317,,,computer,,POINT (120.9944317 14.6289183)
318,,,computer,,POINT (120.9947053 14.628353)
319,fast_food,,,,POINT (120.9951006 14.6292126)
320,restaurant,,,,POINT (120.9956305 14.6296127)
321,bank,,,,POINT (120.9960095 14.6295013)
322,,,trade,,POINT (120.996164 14.6296557)
323,,,supermarket,,POINT (120.9952628 14.629684)
324,fast_food,,,,POINT (120.9954898 14.6298382)
325,fast_food,,,,POINT (120.9957307 14.6297111)
326,fast_food,,,,POINT (120.9958193 14.629892)
327,atm,,,,POINT (120.9953088 14.6300955)
328,,,,,POINT (120.995637 14.6301113)
329,,,,,POINT (120.9958443 14.6300268)
330,post_office,,,,POINT (120.9958232 14.6302733)
331,bank,,,,POINT (120.9958951 14.6297372)
332,fast_food,,,,POINT (120.9958676 14.6298349)
333,bank,,,,POINT (120.9960421 14.6299707)
334,fast_food,,,,POINT (120.9959324 14.6302464)
335,,,bakery,,POINT (120.9960323 14.6303003)
336,restaurant,,,,POINT (120.9954807 14.6307333)
337,,,convenience,,POINT (120.9962407 14.6303639)
338,post_office,,,,POINT (120.9963183 14.6305556)
339,parking,,,,POINT (120.9971296 14.629902)
340,bank,,,,POINT (120.9966084 14.6305507)
341,bank,,,,POINT (120.9967205 14.6306238)
342,fast_food,,,,POINT (120.9975089 14.6305052)
343,,,books,,POINT (120.997465 14.6308627)
344,restaurant,,,,POINT (120.9973327 14.6308761)
345,fire_station,,,,POINT (120.9946496 14.631833)
346,police,,,,POINT (120.9950911 14.6319175)
347,public_building,,,,POINT (120.99485 14.632221)
348,post_office,,,,POINT (120.9950207 14.6321805)
349,internet_cafe,,,,POINT (120.9951001 14.6323624)
350,fuel,,,,POINT (120.9924449 14.6336113)
351,cafe,,,,POINT (120.9950958 14.6328414)
352,,,bakery,,POINT (120.9951125 14.6328414)
353,,,convenience,,POINT (120.9953436 14.6319897)
354,place_of_worship,,,,POINT (120.9955544 14.6323447)
355,restaurant,,,,POINT (120.9978637 14.6311475)
356,,,,,POINT (120.9967988 14.6330339)
357,,,,,POINT (121.0003488 14.6289683)
358,school,,,,POINT (120.9998128 14.6291311)
359,,,car_parts,,POINT (121.0000892 14.6290721)
360,,,,,POINT (121.0002452 14.62902)
361,pharmacy,,,,POINT (120.9982113 14.6310287)
362,,,bicycle,,POINT (120.9995287 14.6304565)
363,place_of_worship,,,,POINT (121.0028206 14.6295748)
364,social_facility,,,,POINT (121.0031483 14.6296004)
365,,,car_parts,,POINT (121.0027133 14.6302963)
366,,,car_repair,,POINT (121.0026851 14.6303495)
367,restaurant,,,,POINT (121.0032614 14.6297546)
368,,,beauty,,POINT (121.0031121 14.6300031)
369,restaurant,,,,POINT (121.0031983 14.6299494)
370,,,bakery,,POINT (121.0028958 14.6300686)
371,,,,,POINT (121.0030627 14.63009)
372,,,,,POINT (121.0030494 14.6301126)
373,,,,,POINT (121.0030362 14.6301391)
374,,,,,POINT (121.0030429 14.6301605)
375,,,car_parts,,POINT (121.0027468 14.6302366)
376,,,clothes,,POINT (121.0029848 14.6303173)
377,,,beauty,,POINT (121.003089 14.6300329)
378,,,,,POINT (121.0030789 14.6300664)
379,,,,,POINT (121.0023627 14.6304574)
380,,,car_parts,,POINT (121.0026529 14.6304196)
381,,,yes,,POINT (121.0026127 14.6304728)
382,,,massage,,POINT (121.0025993 14.6305026)
383,cafe,,,,POINT (121.0025537 14.6306012)
384,,,car_parts,,POINT (121.0025255 14.6306934)
385,restaurant,,,,POINT (121.0025832 14.6305364)
386,bank,,,,POINT (121.0025658 14.6305688)
387,,,,,POINT (121.0021614 14.6310099)
388,,,hairdresser,,POINT (121.0027075 14.6308432)
389,,,car_parts,,POINT (121.0024612 14.6308737)
390,,,car_parts,,POINT (121.0024424 14.6309101)
391,,,car_parts,,POINT (121.002429 14.6309451)
392,,,car_parts,,POINT (121.0024129 14.6309801)
393,restaurant,,,,POINT (121.002651 14.6309568)
394,fast_food,,,,POINT (121.0026593 14.6310177)
395,,,,,POINT (121.0028739 14.6305186)
396,,,,,POINT (121.0029373 14.630395)
397,,,tailor,,POINT (121.0029574 14.6303563)
398,,,,,POINT (121.0029188 14.6304353)
399,,,,,POINT (121.0029034 14.630474)
400,,,,,POINT (121.0028492 14.6305708)
401,,,,estate_agent,POINT (121.002839 14.6305984)
402,,,,,POINT (121.0028126 14.6306476)
403,restaurant,,,,POINT (121.0028269 14.630621)
404,,,supermarket,,POINT (121.0029375 14.6309381)
405,cafe,,,,POINT (120.9981856 14.6312409)
406,restaurant,,,,POINT (120.9986525 14.6311675)
407,fast_food,,,,POINT (120.9988432 14.6312258)
408,,,electronics,,POINT (120.9991577 14.6312929)
409,fast_food,,,,POINT (120.9991481 14.6313446)
410,,,,,POINT (120.9989142 14.6314296)
411,,,bakery,,POINT (120.9989751 14.6315348)
412,restaurant,,,,POINT (120.9990816 14.6316135)
413,restaurant,,,,POINT (120.9991352 14.631655)
414,bank,,,,POINT (120.9987317 14.6320675)
415,bank,,,,POINT (120.9987832 14.6319927)
416,,,,,POINT (120.9993694 14.6317632)
417,,,butcher,,POINT (120.9994042 14.6317801)
418,,,chemist,,POINT (120.9993132 14.631828)
419,bank,,,,POINT (120.99982 14.6319851)
420,bank,,,,POINT (121.0003576 14.6322277)
421,,,dry_cleaning,,POINT (121.0001211 14.6326679)
422,,,,,POINT (120.9999488 14.6336871)
423,,,car_parts,,POINT (121.0019882 14.6318286)
424,,,car_parts,,POINT (121.0019121 14.6319587)
425,,,,,POINT (121.0020318 14.6323208)
426,,residential,,,POINT (121.0023254 14.6310431)
427,,,,,POINT (121.0022872 14.6312051)
428,,,car_parts,,POINT (121.0026131 14.6310483)
429,,,beauty,,POINT (121.002481 14.6313767)
430,,,car_parts,,POINT (121.0025755 14.63132)
431,,,car_parts,,POINT (121.0021651 14.6315101)
432,,,car_parts,,POINT (121.0021315 14.6315923)
433,,,,,POINT (121.0023326 14.6316757)
434,,,,,POINT (121.0022899 14.6317917)
435,,,,,POINT (121.0022696 14.6319215)
436,,,convenience,,POINT (121.0021005 14.6320729)
437,,,,,POINT (121.0017161 14.6327134)
438,restaurant,,,,POINT (121.0019108 14.6326158)
439,restaurant,,,,POINT (121.0018893 14.6326547)
440,,,convenience,,POINT (121.0016824 14.6327647)
441,bank,,,,POINT (121.0018443 14.6329373)
442,,,car_parts,,POINT (121.0018034 14.6330209)
443,,,car_parts,,POINT (121.0015104 14.6333165)
444,,,car_parts,,POINT (121.0014962 14.6333713)
445,,,,,POINT (121.0017697 14.633139)
446,,,supermarket,,POINT (121.001752 14.6332383)
447,pharmacy,,,,POINT (121.0017361 14.6333582)
448,clinic,,,,POINT (121.0017255 14.6334233)
449,bank,,,,POINT (121.0014688 14.6335853)
450,,,wine,,POINT (121.0016954 14.6335793)
451,,,car_parts,,POINT (121.0016919 14.6336067)
452,,,,,POINT (121.0016883 14.6336332)
453,restaurant,,,,POINT (121.0017167 14.6335089)
454,bank,,,,POINT (121.001783 14.6337188)
455,restaurant,,,,POINT (121.0017715 14.6337642)
456,,,pet,,POINT (121.0021421 14.6330109)
457,,,computer,,POINT (121.0024598 14.6328046)
458,,,general,,POINT (121.002921 14.6325685)
459,,,bakery,,POINT (121.0046413 14.6124675)
460,school,,,,POINT (121.00386 14.61449)
461,,,tyres,,POINT (121.0062706 14.6119004)
462,taxi,,,,POINT (121.0064658 14.6119474)
463,,,butcher,,POINT (121.0063883 14.6120319)
464,fast_food,,bakery,,POINT (121.0064635 14.6120327)
465,,,bakery,,POINT (121.0064957 14.6120576)
466,,,tyres,,POINT (121.0065817 14.6121511)
467,,,car_repair,,POINT (121.006388 14.6122329)
468,,,,,POINT (121.0069919 14.6119944)
469,restaurant,,,,POINT (121.006921 14.612414)
470,,,laundry,,POINT (121.0067807 14.6125906)
471,,,funeral_directors,,POINT (121.007054 14.6125738)
472,pharmacy,,,,POINT (121.0071235 14.6130757)
473,fuel,,,,POINT (121.0074372 14.6131137)
474,,,,,POINT (121.0084978 14.6121525)
475,cafe,,,,POINT (121.0086494 14.6119943)
476,,,convenience,,POINT (121.0085877 14.6122577)
477,,,,,POINT (121.0082946 14.6125927)
478,,,,,POINT (121.0073527 14.6133885)
479,bank,,,,POINT (121.0075794 14.6134701)
480,restaurant,,,,POINT (121.0075574 14.6137694)
481,fuel,,,,POINT (121.007881 14.61385)
482,bank,,,,POINT (121.0079007 14.6136863)
483,pharmacy,,,,POINT (121.0077291 14.6139044)
484,bank,,,,POINT (121.008071 14.614171)
485,restaurant,,,,POINT (121.0050029 14.6146732)
486,,,,,POINT (121.0035222 14.6168269)
487,,,computer,,POINT (121.0037783 14.6168806)
488,school,,,,POINT (121.0047302 14.6169972)
489,,,,,POINT (121.0051856 14.6162978)
490,,,clothes,,POINT (121.0053832 14.6163603)
491,restaurant,,,,POINT (121.0053144 14.616929)
492,public_building,,,,POINT (121.0086179 14.6158722)
493,,,convenience,,POINT (121.0064473 14.6167712)
494,place_of_worship,,,,POINT (121.0077463 14.6162026)
495,fire_station,,,,POINT (121.009174 14.6119732)
496,,,,,POINT (121.0094154 14.6118291)
497,pharmacy,,,,POINT (121.0105315 14.6120705)
498,,,,,POINT (121.0115303 14.6125847)
499,,,,,POINT (121.0110217 14.614063)
500,,,,,POINT (121.0123599 14.6131767)
501,,,,,POINT (121.0098263 14.6147917)
502,,,,company,POINT (121.0093 14.61539)
503,,,,,POINT (121.0120405 14.6146371)
504,school,,,,POINT (121.004134 14.6173539)
505,school,,,,POINT (121.0041217 14.6177995)
506,,,car_repair,,POINT (121.0047732 14.6177746)
507,fuel,,,,POINT (121.0049522 14.6181877)
508,,,,,POINT (121.0052734 14.6180628)
509,clinic,,,,POINT (121.0060521 14.6183384)
510,fast_food,,,,POINT (121.0034341 14.6196151)
511,clinic,,,,POINT (121.00381 14.6194895)
512,bank,,,,POINT (121.0036018 14.6199559)
513,,,,,POINT (121.0043344 14.6200328)
514,fuel,,,,POINT (121.0069781 14.6180047)
515,,,supermarket,,POINT (121.0077282 14.618037)
516,bank,,,,POINT (121.0080933 14.6180171)
517,,,electronics,,POINT (121.0080349 14.6181721)
518,,,water,,POINT (121.0072716 14.619223)
519,,,,,POINT (121.0067474 14.619945)
520,,,car_repair,,POINT (121.0078469 14.6198758)
521,bank,,,,POINT (121.0040662 14.6203553)
522,,,,,POINT (121.0042564 14.6202036)
523,place_of_worship,,,,POINT (121.0043623 14.6206193)
524,bank,,,,POINT (121.005554 14.6210089)
525,hospital,,,,POINT (121.0055717 14.6210404)
526,,,,lawyer,POINT (121.005605 14.6210743)
527,restaurant,,,,POINT (121.0034529 14.6215922)
528,college,,,,POINT (121.0035645 14.6221948)
529,fuel,,,,POINT (121.0055032 14.6215384)
530,bank,,,,POINT (121.0058755 14.6218554)
531,,,,,POINT (121.0060431 14.6219401)
532,,,,,POINT (121.0056886 14.6223028)
533,,,,,POINT (121.0066184 14.6213107)
534,,,,,POINT (121.0070735 14.6208281)
535,,,,,POINT (121.0077764 14.620084)
536,,,,,POINT (121.008848 14.6201573)
537,,,computer,,POINT (121.007175 14.6215567)
538,,,car_parts,,POINT (121.0089047 14.6224531)
539,,,car,,POINT (121.0087179 14.6225626)
540,,,,,POINT (121.0087254 14.6225554)
541,,,car_parts,,POINT (121.0085966 14.622693)
542,,,car_parts,,POINT (121.0086664 14.6226437)
543,,,car_parts,,POINT (121.008809 14.6228019)
544,post_box,,,,POINT (121.0098956 14.6183106)
545,bureau_de_change,,,,POINT (121.0099869 14.6183106)
546,bank,,,,POINT (121.0100782 14.6183225)
547,restaurant,,,,POINT (121.010267 14.6183284)
548,,,,,POINT (121.0098895 14.6184189)
549,,,,,POINT (121.0097773 14.6184392)
550,,,,,POINT (121.0098257 14.6184428)
551,pharmacy,,,,POINT (121.0096947 14.6185863)
552,,,convenience,,POINT (121.0099933 14.6184488)
553,,,clothes,,POINT (121.0099744 14.6186087)
554,,,convenience,,POINT (121.0099674 14.6186459)
555,,,,,POINT (121.0099961 14.6186663)
